timestamp,x_px,y_px,z_mm,point_id,sequence_id
1751004651.5301685,426,366,530.0,P1,8
1751004651.5696886,426,365,530.0,P1,8
1751004651.5964851,427,365,531.0,P1,8
1751004651.6361823,426,365,530.0,P1,8
1751004651.6636233,426,365,531.0,P1,8
1751004651.6969993,426,365,530.0,P1,8
1751004651.7303147,425,365,531.0,P1,8
1751004651.763339,424,365,532.0,P1,8
1751004651.7967327,424,365,532.0,P1,8
1751004651.8304706,424,365,531.0,P1,8
1751004651.8714542,424,365,532.0,P1,8
1751004651.8970466,424,365,531.0,P1,8
1751004651.9302511,424,365,532.0,P1,8
1751004651.965105,424,365,531.0,P1,8
1751004652.004049,424,365,532.0,P1,8
1751004652.033888,424,365,531.0,P1,8
1751004652.06136,425,365,531.0,P1,8
1751004652.0955892,425,364,530.0,P1,8
1751004652.1259494,425,364,531.0,P1,8
1751004652.1576262,425,363,528.0,P1,8
1751004652.1999168,427,359,525.0,P1,8
1751004652.2365584,431,353,517.0,P1,8
1751004652.2685318,433,344,515.0,P1,8
1751004652.3013227,435,334,517.0,P1,8
1751004652.4298162,447,266,616.0,P1,8
1751004652.4611828,451,242,638.0,P1,8
1751004652.4964058,457,214,681.0,P1,8
1751004652.5398672,464,181,771.0,P1,8
1751004652.571466,471,145,748.0,P1,8
1751004652.6031332,483,105,725.0,P1,8
1751004653.6154082,559,38,683.0,P1,9
1751004653.6321573,544,121,720.0,P1,9
1751004653.6658175,505,181,801.0,P1,9
1751004653.7036455,500,242,655.0,P1,9
1751004653.7322347,494,279,619.0,P1,9
1751004653.7655172,484,302,452.0,P1,9
1751004653.7989185,477,317,464.0,P1,9
1751004653.8367155,471,329,477.0,P1,9
1751004653.8658402,464,338,490.0,P1,9
1751004653.8993049,458,344,501.0,P1,9
1751004653.9391365,449,350,509.0,P1,9
1751004653.967507,441,355,519.0,P1,9
1751004653.9991574,434,358,525.0,P1,9
1751004654.036574,428,360,533.0,P1,9
1751004654.073675,424,361,535.0,P1,9
1751004654.099643,424,362,534.0,P1,9
1751004654.132851,424,361,535.0,P1,9
1751004654.1703541,424,362,534.0,P1,9
1751004654.1993382,424,362,534.0,P1,9
1751004654.2331364,424,362,534.0,P1,9
1751004654.2685513,424,362,534.0,P1,9
1751004654.3000257,424,362,533.0,P1,9
1751004654.334288,424,362,533.0,P1,9
1751004654.3698206,424,362,534.0,P1,9
1751004654.3986568,424,362,534.0,P1,9
1751004654.429704,424,362,533.0,P1,9
1751004654.4616654,424,362,534.0,P1,9
1751004654.4989629,424,362,535.0,P1,9
1751004654.5252874,424,361,535.0,P1,9
1751004654.5570343,424,361,536.0,P1,9
1751004654.6043932,424,361,534.0,P1,9
1751004654.6360338,424,361,534.0,P1,9
1751004654.6680121,424,361,536.0,P1,9
1751004654.6988835,424,360,532.0,P1,9
1751004654.7306294,426,357,530.0,P1,9
1751004654.7624469,430,351,525.0,P1,9
1751004654.7990992,435,342,524.0,P1,9
1751004654.969386,462,244,644.0,P1,9
1751004655.0009563,469,215,681.0,P1,9
1751004655.0326667,476,179,789.0,P1,9
1751004655.0644279,485,145,747.0,P1,9
1751004655.0994248,494,103,727.0,P1,9
1751004655.1278176,500,54,694.0,P1,9
1751004656.2683825,560,99,700.0,P1,10
1751004656.3016667,524,157,754.0,P1,10
1751004656.3374221,512,219,687.0,P1,10
1751004656.3687894,499,269,623.0,P1,10
1751004656.4018416,482,298,597.0,P1,10
1751004656.4355927,466,321,494.0,P1,10
1751004656.4687364,454,336,510.0,P1,10
1751004656.502023,448,347,513.0,P1,10
